legacy_id,name,fips_code,state,state_name,county,land_class,land_category,land_type,region_type,district_type,offshore_region,sort,creation_date,last_update_date
"599771","","","","","","","Not Tied to a Lease","","","","","","2025-08-08T18:08:02.553264+00:00","2025-08-08T18:08:02.553264+00:00"
"87325","Alaska, Barrow","02185","AK","Alaska","Barrow","Federal","Onshore","Federal onshore","County","County","","AK2Ba","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"586228","Nevada, Douglas","32005","NV","Nevada","Douglas","Federal","Onshore","Federal onshore","County","County","","NV2Do","2025-04-02T13:54:02.426975+00:00","2025-04-02T13:54:02.426975+00:00"
"593795","Gulf of America","GMR","","","","Federal","Offshore","Federal offshore","Offshore","","Gulf","1-GMR","2025-06-04T17:59:21.786576+00:00","2025-06-04T17:59:21.786576+00:00"
"615009","Idaho, Elmore","16039","ID","Idaho","Elmore","Federal","Onshore","Federal onshore","County","County","","ID2El","2025-12-04T14:12:06.574699+00:00","2025-12-04T14:12:06.574699+00:00"
"89182","Utah","UT","UT","Utah","","Federal","Onshore","Federal onshore","State","State","","UT1","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87326","Alaska, Harrison Bay","02185","AK","Alaska","Harrison Bay","Federal","Onshore","Federal onshore","County","County","","AK2Ha","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87327","Alaska, Ikpikpuk Riv","02185","AK","Alaska","Ikpikpuk Riv","Federal","Onshore","Federal onshore","County","County","","AK2Ik","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87328","Alaska, Kenai (Post)","02122","AK","Alaska","Kenai (Post)","Federal","Onshore","Federal onshore","County","County","","AK2Ke","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87329","Alaska, Kenai (Pre)","02122","AK","Alaska","Kenai (Pre)","Federal","Onshore","Federal onshore","County","County","","AK2Ke","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87330","Alaska, Lookout Rdg","02185","AK","Alaska","Lookout Rdg","Federal","Onshore","Federal onshore","County","County","","AK2Lo","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87331","Alaska, Meade River","02185","AK","Alaska","Meade River","Federal","Onshore","Federal onshore","County","County","","AK2Me","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87324","Not tied to a location","","","","","Federal","Onshore","Federal onshore","","","","zZz","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87319","Not tied to a region","","","","","Federal","Offshore","Federal offshore","","","","zZZ","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87318","Not tied to a lease","","","","","Federal","Not Tied to a Lease","Federal - not tied to a lease","","","","zzZ","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87332","Alaska, Naknek","02185","AK","Alaska","Naknek","Federal","Onshore","Federal onshore","County","County","","AK2Na","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87333","Alaska, Teshekpuk","02185","AK","Alaska","Teshekpuk","Federal","Onshore","Federal onshore","County","County","","AK2Te","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87334","Alaska, Tyonek","02122","AK","Alaska","Tyonek","Federal","Onshore","Federal onshore","County","County","","AK2Ty","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87335","Alaska, Umiat","02185","AK","Alaska","Umiat","Federal","Onshore","Federal onshore","County","County","","AK2Um","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87390","Arizona, Apache","04001","AZ","Arizona","Apache","Federal","Onshore","Federal onshore","County","County","","AZ2Ap","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87391","Arizona, Cochise","04003","AZ","Arizona","Cochise","Federal","Onshore","Federal onshore","County","County","","AZ2Co","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87392","Arizona, Coconino","04005","AZ","Arizona","Coconino","Federal","Onshore","Federal onshore","County","County","","AZ2Co","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87393","Arizona, Greenlee","04011","AZ","Arizona","Greenlee","Federal","Onshore","Federal onshore","County","County","","AZ2Gr","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87394","Arizona, Maricopa","04013","AZ","Arizona","Maricopa","Federal","Onshore","Federal onshore","County","County","","AZ2Ma","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87395","Arizona, Mohave","04015","AZ","Arizona","Mohave","Federal","Onshore","Federal onshore","County","County","","AZ2Mo","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87396","Arizona, Navajo","04017","AZ","Arizona","Navajo","Federal","Onshore","Federal onshore","County","County","","AZ2Na","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87359","Arkansas, Cleburne","05023","AR","Arkansas","Cleburne","Federal","Onshore","Federal onshore","County","County","","AR2Cl","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87360","Arkansas, Columbia","05027","AR","Arkansas","Columbia","Federal","Onshore","Federal onshore","County","County","","AR2Co","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87361","Arkansas, Conway","05029","AR","Arkansas","Conway","Federal","Onshore","Federal onshore","County","County","","AR2Co","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87323","Pacific","POR","","","","Federal","Offshore","Federal offshore","Offshore","","Pacific","1-POR","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87320","Alaska","AKR","","","","Federal","Offshore","Federal offshore","Offshore","","Alaska","1-AKR","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87321","Atlantic","AOR","","","","Federal","Offshore","Federal offshore","Offshore","","Atlantic","1-AOR","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87430","Colorado, Adams","08001","CO","Colorado","Adams","Federal","Onshore","Federal onshore","County","County","","CO2Ad","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87431","Colorado, Alamosa","08003","CO","Colorado","Alamosa","Federal","Onshore","Federal onshore","County","County","","CO2Al","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87432","Colorado, Arapahoe","08005","CO","Colorado","Arapahoe","Federal","Onshore","Federal onshore","County","County","","CO2Ar","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87433","Colorado, Archuleta","08007","CO","Colorado","Archuleta","Federal","Onshore","Federal onshore","County","County","","CO2Ar","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87481","Florida, Hardee","12049","FL","Florida","Hardee","Federal","Onshore","Federal onshore","County","County","","FL2Ha","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87482","Florida, Manatee","12081","FL","Florida","Manatee","Federal","Onshore","Federal onshore","County","County","","FL2Ma","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87483","Florida, Okaloosa","12091","FL","Florida","Okaloosa","Federal","Onshore","Federal onshore","County","County","","FL2Ok","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87484","Florida, Polk","12105","FL","Florida","Polk","Federal","Onshore","Federal onshore","County","County","","FL2Po","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87485","Florida, Santa Rosa","12113","FL","Florida","Santa Rosa","Federal","Onshore","Federal onshore","County","County","","FL2Sa","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87486","Georgia, Greene","13133","GA","Georgia","Greene","Federal","Onshore","Federal onshore","County","County","","GA2Gr","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87487","Idaho, Bannock","16005","ID","Idaho","Bannock","Federal","Onshore","Federal onshore","County","County","","ID2Ba","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87488","Idaho, Bear Lake","16007","ID","Idaho","Bear Lake","Federal","Onshore","Federal onshore","County","County","","ID2Be","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87489","Idaho, Bingham","16011","ID","Idaho","Bingham","Federal","Onshore","Federal onshore","County","County","","ID2Bi","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87490","Idaho, Blaine","16013","ID","Idaho","Blaine","Federal","Onshore","Federal onshore","County","County","","ID2Bl","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87491","Idaho, Boise","16015","ID","Idaho","Boise","Federal","Onshore","Federal onshore","County","County","","ID2Bo","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87492","Idaho, Bonneville","16019","ID","Idaho","Bonneville","Federal","Onshore","Federal onshore","County","County","","ID2Bo","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87493","Idaho, Camas","16025","ID","Idaho","Camas","Federal","Onshore","Federal onshore","County","County","","ID2Ca","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87494","Idaho, Canyon","16027","ID","Idaho","Canyon","Federal","Onshore","Federal onshore","County","County","","ID2Ca","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87495","Idaho, Caribou","16029","ID","Idaho","Caribou","Federal","Onshore","Federal onshore","County","County","","ID2Ca","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87496","Idaho, Cassia","16031","ID","Idaho","Cassia","Federal","Onshore","Federal onshore","County","County","","ID2Ca","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87497","Idaho, Clark","16033","ID","Idaho","Clark","Federal","Onshore","Federal onshore","County","County","","ID2Cl","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87498","Idaho, Clearwater","16035","ID","Idaho","Clearwater","Federal","Onshore","Federal onshore","County","County","","ID2Cl","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87499","Idaho, Jefferson","16051","ID","Idaho","Jefferson","Federal","Onshore","Federal onshore","County","County","","ID2Je","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87500","Idaho, Latah","16057","ID","Idaho","Latah","Federal","Onshore","Federal onshore","County","County","","ID2La","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87501","Idaho, Payette","16075","ID","Idaho","Payette","Federal","Onshore","Federal onshore","County","County","","ID2Pa","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87502","Idaho, Shoshone","16079","ID","Idaho","Shoshone","Federal","Onshore","Federal onshore","County","County","","ID2Sh","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87503","Idaho, Teton","16081","ID","Idaho","Teton","Federal","Onshore","Federal onshore","County","County","","ID2Te","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87504","Idaho, Washington","16087","ID","Idaho","Washington","Federal","Onshore","Federal onshore","County","County","","ID2Wa","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87547","Kentucky, Bell","21013","KY","Kentucky","Bell","Federal","Onshore","Federal onshore","County","County","","KY2Be","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87548","Kentucky, Clay","21051","KY","Kentucky","Clay","Federal","Onshore","Federal onshore","County","County","","KY2Cl","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87549","Kentucky, Edmonson","21061","KY","Kentucky","Edmonson","Federal","Onshore","Federal onshore","County","County","","KY2Ed","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87550","Kentucky, Estill","21065","KY","Kentucky","Estill","Federal","Onshore","Federal onshore","County","County","","KY2Es","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87551","Kentucky, Floyd","21071","KY","Kentucky","Floyd","Federal","Onshore","Federal onshore","County","County","","KY2Fl","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87552","Kentucky, Grayson","21085","KY","Kentucky","Grayson","Federal","Onshore","Federal onshore","County","County","","KY2Gr","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87553","Kentucky, Harlan","21095","KY","Kentucky","Harlan","Federal","Onshore","Federal onshore","County","County","","KY2Ha","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87554","Kentucky, Henderson","21101","KY","Kentucky","Henderson","Federal","Onshore","Federal onshore","County","County","","KY2He","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87555","Kentucky, Johnson","21115","KY","Kentucky","Johnson","Federal","Onshore","Federal onshore","County","County","","KY2Jo","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87556","Kentucky, Lawrence","21127","KY","Kentucky","Lawrence","Federal","Onshore","Federal onshore","County","County","","KY2La","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87557","Kentucky, Lee","21129","KY","Kentucky","Lee","Federal","Onshore","Federal onshore","County","County","","KY2Le","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87558","Kentucky, Leslie","21131","KY","Kentucky","Leslie","Federal","Onshore","Federal onshore","County","County","","KY2Le","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87559","Kentucky, Letcher","21133","KY","Kentucky","Letcher","Federal","Onshore","Federal onshore","County","County","","KY2Le","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87567","Louisiana, Assumption","22007","LA","Louisiana","Assumption","Federal","Onshore","Federal onshore","County","County","","LA2As","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87652","Mississippi, Adams","28001","MS","Mississippi","Adams","Federal","Onshore","Federal onshore","County","County","","MS2Ad","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87653","Mississippi, Amite","28005","MS","Mississippi","Amite","Federal","Onshore","Federal onshore","County","County","","MS2Am","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87654","Mississippi, Chickasaw","28017","MS","Mississippi","Chickasaw","Federal","Onshore","Federal onshore","County","County","","MS2Ch","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87643","Missouri, Crawford","29055","MO","Missouri","Crawford","Federal","Onshore","Federal onshore","County","County","","MO2Cr","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87644","Missouri, Dent","29065","MO","Missouri","Dent","Federal","Onshore","Federal onshore","County","County","","MO2De","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87645","Missouri, Iron","29093","MO","Missouri","Iron","Federal","Onshore","Federal onshore","County","County","","MO2Ir","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87646","Missouri, Jackson","29095","MO","Missouri","Jackson","Federal","Onshore","Federal onshore","County","County","","MO2Ja","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87647","Missouri, Madison","29123","MO","Missouri","Madison","Federal","Onshore","Federal onshore","County","County","","MO2Ma","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87648","Missouri, Reynolds","29179","MO","Missouri","Reynolds","Federal","Onshore","Federal onshore","County","County","","MO2Re","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87649","Missouri, Shannon","29203","MO","Missouri","Shannon","Federal","Onshore","Federal onshore","County","County","","MO2Sh","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87651","Missouri, Washington","29221","MO","Missouri","Washington","Federal","Onshore","Federal onshore","County","County","","MO2Wa","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87697","Montana, Beaverhead","30001","MT","Montana","Beaverhead","Federal","Onshore","Federal onshore","County","County","","MT2Be","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87698","Montana, Big Horn","30003","MT","Montana","Big Horn","Federal","Onshore","Federal onshore","County","County","","MT2Bi","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87699","Montana, Blaine","30005","MT","Montana","Blaine","Federal","Onshore","Federal onshore","County","County","","MT2Bl","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87700","Montana, Broadwater","30007","MT","Montana","Broadwater","Federal","Onshore","Federal onshore","County","County","","MT2Br","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87701","Montana, Carbon","30009","MT","Montana","Carbon","Federal","Onshore","Federal onshore","County","County","","MT2Ca","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87702","Montana, Carter","30011","MT","Montana","Carter","Federal","Onshore","Federal onshore","County","County","","MT2Ca","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87703","Montana, Cascade","30013","MT","Montana","Cascade","Federal","Onshore","Federal onshore","County","County","","MT2Ca","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87704","Montana, Chouteau","30015","MT","Montana","Chouteau","Federal","Onshore","Federal onshore","County","County","","MT2Ch","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87705","Montana, Custer","30017","MT","Montana","Custer","Federal","Onshore","Federal onshore","County","County","","MT2Cu","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87706","Montana, Daniels","30019","MT","Montana","Daniels","Federal","Onshore","Federal onshore","County","County","","MT2Da","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87707","Montana, Dawson","30021","MT","Montana","Dawson","Federal","Onshore","Federal onshore","County","County","","MT2Da","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87708","Montana, Fallon","30025","MT","Montana","Fallon","Federal","Onshore","Federal onshore","County","County","","MT2Fa","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87709","Montana, Fergus","30027","MT","Montana","Fergus","Federal","Onshore","Federal onshore","County","County","","MT2Fe","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87710","Montana, Flathead","30029","MT","Montana","Flathead","Federal","Onshore","Federal onshore","County","County","","MT2Fl","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87711","Montana, Gallatin","30031","MT","Montana","Gallatin","Federal","Onshore","Federal onshore","County","County","","MT2Ga","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87712","Montana, Garfield","30033","MT","Montana","Garfield","Federal","Onshore","Federal onshore","County","County","","MT2Ga","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87713","Montana, Glacier","30035","MT","Montana","Glacier","Federal","Onshore","Federal onshore","County","County","","MT2Gl","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87808","Nevada, Churchill","32001","NV","Nevada","Churchill","Federal","Onshore","Federal onshore","County","County","","NV2Ch","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87809","Nevada, Clark","32003","NV","Nevada","Clark","Federal","Onshore","Federal onshore","County","County","","NV2Cl","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87810","Nevada, Elko","32007","NV","Nevada","Elko","Federal","Onshore","Federal onshore","County","County","","NV2El","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87811","Nevada, Esmeralda","32009","NV","Nevada","Esmeralda","Federal","Onshore","Federal onshore","County","County","","NV2Es","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87812","Nevada, Eureka","32011","NV","Nevada","Eureka","Federal","Onshore","Federal onshore","County","County","","NV2Eu","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87813","Nevada, Humboldt","32013","NV","Nevada","Humboldt","Federal","Onshore","Federal onshore","County","County","","NV2Hu","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87814","Nevada, Lander","32015","NV","Nevada","Lander","Federal","Onshore","Federal onshore","County","County","","NV2La","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87903","Oregon, Columbia","41009","OR","Oregon","Columbia","Federal","Onshore","Federal onshore","County","County","","OR2Co","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87904","Oregon, Deschutes","41017","OR","Oregon","Deschutes","Federal","Onshore","Federal onshore","County","County","","OR2De","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87905","Oregon, Gilliam","41021","OR","Oregon","Gilliam","Federal","Onshore","Federal onshore","County","County","","OR2Gi","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87906","Oregon, Hood River","41027","OR","Oregon","Hood River","Federal","Onshore","Federal onshore","County","County","","OR2Ho","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87907","Oregon, Jefferson","41031","OR","Oregon","Jefferson","Federal","Onshore","Federal onshore","County","County","","OR2Je","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87908","Oregon, Lake","41037","OR","Oregon","Lake","Federal","Onshore","Federal onshore","County","County","","OR2La","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87909","Oregon, Malheur","41045","OR","Oregon","Malheur","Federal","Onshore","Federal onshore","County","County","","OR2Ma","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87910","Oregon, Morrow","41049","OR","Oregon","Morrow","Federal","Onshore","Federal onshore","County","County","","OR2Mo","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87911","Oregon, Sherman","41055","OR","Oregon","Sherman","Federal","Onshore","Federal onshore","County","County","","OR2Sh","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87912","Oregon, Umatilla","41059","OR","Oregon","Umatilla","Federal","Onshore","Federal onshore","County","County","","OR2Um","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87913","Oregon, Wasco","41065","OR","Oregon","Wasco","Federal","Onshore","Federal onshore","County","County","","OR2Wa","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87914","Oregon, Wheeler","41069","OR","Oregon","Wheeler","Federal","Onshore","Federal onshore","County","County","","OR2Wh","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87915","Pennsylvania, Armstrong","42005","PA","Pennsylvania","Armstrong","Federal","Onshore","Federal onshore","County","County","","PA2Ar","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87916","Pennsylvania, Bedford","42009","PA","Pennsylvania","Bedford","Federal","Onshore","Federal onshore","County","County","","PA2Be","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87917","Pennsylvania, Bradford","42015","PA","Pennsylvania","Bradford","Federal","Onshore","Federal onshore","County","County","","PA2Br","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87918","Pennsylvania, Forest","42053","PA","Pennsylvania","Forest","Federal","Onshore","Federal onshore","County","County","","PA2Fo","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87919","Pennsylvania, Indiana","42063","PA","Pennsylvania","Indiana","Federal","Onshore","Federal onshore","County","County","","PA2In","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87920","Pennsylvania, Jefferson","42065","PA","Pennsylvania","Jefferson","Federal","Onshore","Federal onshore","County","County","","PA2Je","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87921","Pennsylvania, Warren","42123","PA","Pennsylvania","Warren","Federal","Onshore","Federal onshore","County","County","","PA2Wa","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87922","Pennsylvania, Westmoreland","42129","PA","Pennsylvania","Westmoreland","Federal","Onshore","Federal onshore","County","County","","PA2We","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87923","South Carolina, Abbeville","45001","SC","South Carolina","Abbeville","Federal","Onshore","Federal onshore","County","County","","SC2Ab","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87924","South Dakota, Butte","46019","SD","South Dakota","Butte","Federal","Onshore","Federal onshore","County","County","","SD2Bu","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87925","South Dakota, Custer","46033","SD","South Dakota","Custer","Federal","Onshore","Federal onshore","County","County","","SD2Cu","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87926","South Dakota, Douglas","46043","SD","South Dakota","Douglas","Federal","Onshore","Federal onshore","County","County","","SD2Do","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87927","South Dakota, Fall River","46047","SD","South Dakota","Fall River","Federal","Onshore","Federal onshore","County","County","","SD2Fa","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87928","South Dakota, Harding","46063","SD","South Dakota","Harding","Federal","Onshore","Federal onshore","County","County","","SD2Ha","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87929","South Dakota, Meade","46093","SD","South Dakota","Meade","Federal","Onshore","Federal onshore","County","County","","SD2Me","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87994","Utah, Beaver","49001","UT","Utah","Beaver","Federal","Onshore","Federal onshore","County","County","","UT2Be","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87995","Utah, Box Elder","49003","UT","Utah","Box Elder","Federal","Onshore","Federal onshore","County","County","","UT2Bo","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87996","Utah, Carbon","49007","UT","Utah","Carbon","Federal","Onshore","Federal onshore","County","County","","UT2Ca","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87997","Utah, Daggett","49009","UT","Utah","Daggett","Federal","Onshore","Federal onshore","County","County","","UT2Da","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
"87998","Utah, Davis","49011","UT","Utah","Davis","Federal","Onshore","Federal onshore","County","County","","UT2Da","2025-02-19T18:29:36.469322+00:00","2025-02-19T18:29:36.469322+00:00"
